"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","6","67.962","87","160","100"
"robot_a","step1","14","0.249","0","376","100"
"robot_a","step1_ack","14","39.088","307","0","100"
"robot_a","step1a","3","3.179","0","384","100"
"robot_a","step1b","3","42.022","0","307","100"
"robot_a","step2_ack","14","62.075","306","0","100"
"robot_a","step2a","3","0.009","307","0","100"
"robot_a","step2b","3","24.425","0","314","100"
"robot_a","step3_ack","14","89.136","275","0","100"
"robot_a","step3a","3","0.011","314","0","100"
"robot_a","step3b","3","23.411","0","275","100"
"robot_a","step4","3","48.359","0","0","100"
"robot_a","step4a","3","0.009","275","0","100"
"robot_a","step4b","3","1.151","0","0","100"
"robot_a","step5","14","111.598","0","0","100"
"robot_a","step5a","3","1.2","0","0","100"
"robot_a","step5b","3","1.24","0","0","100"
"robot_b","step2","23","0.252","323","323","100"
"server","register","50","0.166","83","64","100"
"server","step1","23","0.107","395","323","100"
"server","step3","23","0.099","323","287","100"
