"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","6","67.962","87","160","100"
"robot_b","step2","6","0.112","323","322","100"
"server","register","12","0.147","83","64","100"
"server","step1","6","0.099","394","323","100"
"server","step3","6","0.093","322","287","100"
