"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","6","67.962","87","160","100"
"robot_a","step1","11","0.18","0","376","100"
"robot_a","step1_ack","11","31.455","307","0","100"
"robot_a","step2_ack","11","52.806","306","0","100"
"robot_a","step3_ack","11","78.517","275","0","100"
"robot_a","step5","11","94.882","0","0","100"
"robot_b","step2","17","0.112","323","322","100"
"server","register","34","0.147","83","64","100"
"server","step1","17","0.095","394","323","100"
"server","step3","17","0.094","322","287","100"
