"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","5","55.789","87","160","100"
"robot_b","step2","5","0.106","323","322","100"
"server","register","10","0.137","83","64","100"
"server","step1","5","0.092","394","323","100"
"server","step3","5","0.064","322","287","100"
