"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","6","67.962","87","160","100"
"robot_a","step1","10","0.169","0","376","100"
"robot_a","step1_ack","10","31.284","307","0","100"
"robot_a","step2_ack","10","52.627","306","0","100"
"robot_a","step3_ack","10","77.945","275","0","100"
"robot_a","step5","10","94.064","0","0","100"
"robot_b","step2","16","0.11","323","322","100"
"server","register","32","0.144","83","64","100"
"server","step1","16","0.094","394","323","100"
"server","step3","16","0.093","322","287","100"
