"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","6","67.962","87","160","100"
"robot_a","step1","2","0.198","0","376","100"
"robot_a","step1_ack","2","50.141","307","0","100"
"robot_a","step2_ack","2","74.269","306","0","100"
"robot_a","step3_ack","2","101.919","275","0","100"
"robot_a","step5","2","115.494","0","0","100"
"robot_b","step2","8","0.112","323","322","100"
"server","register","16","0.161","83","64","100"
"server","step1","8","0.095","394","323","100"
"server","step3","8","0.098","322","287","100"
