"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","6","67.962","87","160","100"
"robot_a","step1","9","0.161","0","376","100"
"robot_a","step1_ack","9","30.411","307","0","100"
"robot_a","step2_ack","9","51.486","306","0","100"
"robot_a","step3_ack","9","76.296","275","0","100"
"robot_a","step5","9","92.23","0","0","100"
"robot_b","step2","15","0.106","323","322","100"
"server","register","30","0.142","83","64","100"
"server","step1","15","0.091","394","323","100"
"server","step3","15","0.093","322","287","100"
