"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","6","67.962","87","160","100"
"robot_a","step1","13","0.242","0","376","100"
"robot_a","step1_ack","13","36.595","307","0","100"
"robot_a","step2_ack","13","58.5","306","0","100"
"robot_a","step3_ack","13","84.797","275","0","100"
"robot_a","step4","2","72.498","0","0","100"
"robot_a","step5","13","105.366","0","0","100"
"robot_b","step2","19","0.129","323","322","100"
"server","register","42","0.162","83","64","100"
"server","step1","19","0.106","394","323","100"
"server","step3","19","0.095","322","287","100"
