"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","6","67.962","87","160","100"
"robot_a","step1","5","0.196","0","376","100"
"robot_a","step1_ack","5","37.283","307","0","100"
"robot_a","step2_ack","5","58.01","306","0","100"
"robot_a","step3_ack","5","85.256","275","0","100"
"robot_a","step5","5","100.829","0","0","100"
"robot_b","step2","11","0.113","323","322","100"
"server","register","22","0.148","83","64","100"
"server","step1","11","0.093","394","323","100"
"server","step3","11","0.091","322","287","100"
