"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","6","67.962","87","160","100"
"robot_a","step1","7","0.168","0","376","100"
"robot_a","step1_ack","7","31.118","307","0","100"
"robot_a","step2_ack","7","51.433","306","0","100"
"robot_a","step3_ack","7","76.899","275","0","100"
"robot_a","step5","7","92.789","0","0","100"
"robot_b","step2","13","0.109","323","322","100"
"server","register","26","0.143","83","64","100"
"server","step1","13","0.09","394","323","100"
"server","step3","13","0.087","322","287","100"
