"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","6","67.962","87","160","100"
"robot_a","step1","1","0.251","0","376","100"
"robot_a","step1_ack","1","67.972","307","0","100"
"robot_a","step2_ack","1","93.911","306","0","100"
"robot_a","step3_ack","1","123.984","275","0","100"
"robot_a","step5","1","138.036","0","0","100"
"robot_b","step2","7","0.117","323","322","100"
"server","register","14","0.167","83","64","100"
"server","step1","7","0.1","394","323","100"
"server","step3","7","0.099","322","287","100"
