"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","6","67.962","87","160","100"
"robot_a","step1","3","0.168","0","376","100"
"robot_a","step1_ack","3","43.239","307","0","100"
"robot_a","step2_ack","3","65.941","306","0","100"
"robot_a","step3_ack","3","92.861","275","0","100"
"robot_a","step5","3","107.456","0","0","100"
"robot_b","step2","9","0.108","323","322","100"
"server","register","18","0.154","83","64","100"
"server","step1","9","0.092","394","323","100"
"server","step3","9","0.094","322","287","100"
