"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","6","67.962","87","160","100"
"robot_a","step1","14","0.249","0","376","100"
"robot_a","step1_ack","14","39.088","307","0","100"
"robot_a","step2_ack","14","62.075","306","0","100"
"robot_a","step3_ack","14","89.136","275","0","100"
"robot_a","step4","3","48.359","0","0","100"
"robot_a","step5","14","111.598","0","0","100"
"robot_b","step2","20","0.131","323","322","100"
"server","register","44","0.164","83","64","100"
"server","step1","20","0.108","394","323","100"
"server","step3","20","0.097","322","287","100"
