"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","6","67.962","87","160","100"
"robot_a","step1","8","0.161","0","376","100"
"robot_a","step1_ack","8","30.147","307","0","100"
"robot_a","step2_ack","8","50.023","306","0","100"
"robot_a","step3_ack","8","75.703","275","0","100"
"robot_a","step5","8","91.896","0","0","100"
"robot_b","step2","14","0.106","323","322","100"
"server","register","28","0.142","83","64","100"
"server","step1","14","0.088","394","323","100"
"server","step3","14","0.09","322","287","100"
