"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","6","67.962","87","160","100"
"robot_a","step1","14","0.249","0","376","100"
"robot_a","step1_ack","14","39.088","307","0","100"
"robot_a","step1a","1","0.107","0","376","100"
"robot_a","step1b","1","24.531","0","307","100"
"robot_a","step2_ack","14","62.075","306","0","100"
"robot_a","step2a","1","0.008","307","0","100"
"robot_a","step2b","1","15.163","0","306","100"
"robot_a","step3_ack","14","89.136","275","0","100"
"robot_a","step3a","1","0.007","306","0","100"
"robot_a","step3b","1","15.901","0","275","100"
"robot_a","step4","3","48.359","0","0","100"
"robot_a","step4a","1","0.006","275","0","100"
"robot_a","step4b","1","1.116","0","0","100"
"robot_a","step5","14","111.598","0","0","100"
"robot_a","step5a","1","1.177","0","0","100"
"robot_a","step5b","1","1.15","0","0","100"
"robot_b","step2","21","0.128","323","322","100"
"server","register","46","0.165","83","64","100"
"server","step1","21","0.106","394","323","100"
"server","step3","21","0.096","322","287","100"
