"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","6","67.962","87","160","100"
"robot_a","step1","12","0.24","0","376","100"
"robot_a","step1_ack","12","34.605","307","0","100"
"robot_a","step2_ack","12","56.761","306","0","100"
"robot_a","step3_ack","12","83.17","275","0","100"
"robot_a","step4","1","144.931","0","0","100"
"robot_a","step5","12","101.687","0","0","100"
"robot_b","step2","18","0.13","323","322","100"
"server","register","36","0.155","83","64","100"
"server","step1","18","0.104","394","323","100"
"server","step3","18","0.096","322","287","100"
