"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","6","67.962","87","160","100"
"robot_a","step1","4","0.209","0","376","100"
"robot_a","step1_ack","4","40.977","307","0","100"
"robot_a","step2_ack","4","61.722","306","0","100"
"robot_a","step3_ack","4","88.722","275","0","100"
"robot_a","step5","4","102.052","0","0","100"
"robot_b","step2","10","0.113","323","322","100"
"server","register","20","0.15","83","64","100"
"server","step1","10","0.092","394","323","100"
"server","step3","10","0.091","322","287","100"
