"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","6","67.962","87","160","100"
"robot_a","step1","14","0.249","0","376","100"
"robot_a","step1_ack","14","39.088","307","0","100"
"robot_a","step1a","2","0.172","0","376","100"
"robot_a","step1b","2","43.462","0","307","100"
"robot_a","step2_ack","14","62.075","306","0","100"
"robot_a","step2a","2","0.012","307","0","100"
"robot_a","step2b","2","22.13","0","306","100"
"robot_a","step3_ack","14","89.136","275","0","100"
"robot_a","step3a","2","0.011","306","0","100"
"robot_a","step3b","2","21.786","0","275","100"
"robot_a","step4","3","48.359","0","0","100"
"robot_a","step4a","2","0.008","275","0","100"
"robot_a","step4b","2","1.14","0","0","100"
"robot_a","step5","14","111.598","0","0","100"
"robot_a","step5a","2","1.178","0","0","100"
"robot_a","step5b","2","1.241","0","0","100"
"robot_b","step2","22","0.134","323","322","100"
"server","register","48","0.166","83","64","100"
"server","step1","22","0.108","394","323","100"
"server","step3","22","0.098","322","287","100"
